sell_date,store,product_description,opening_stock,received_stock,total_stock,number_of_sales,closing_stock,rrp,total_sales_value,staff
2025-12-01,NAKURU SUPERCENTRE,"75"" SMART TV",1,0,1,0,1,94995,0,Lucy Wangui
2025-12-01,NAKURU SUPERCENTRE,"55"" SMART TV",1,0,1,0,1,39995,0,Lucy Wangui
2025-12-01,NAKURU SUPERCENTRE,"50"" SMART TV",1,0,1,0,1,35995,0,Lucy Wangui
2025-12-01,NAKURU SUPERCENTRE,"43"" FHD ADROID TV",1,0,1,0,1,23995,0,Lucy Wangui
2025-12-01,NAKURU SUPERCENTRE,"32"" DIG TV",1,0,1,0,1,19995,0,Lucy Wangui
2025-12-01,NAKURU SUPERCENTRE,SOUNDBAR VP2111SB,1,0,1,0,1,11995,0,Lucy Wangui
2025-12-01,NAKURU SUPERCENTRE,SOUNDBAR VP2112SB,1,0,1,0,1,13995,0,Lucy Wangui
2025-12-01,NAKURU SUPERCENTRE,SOUNDBAR VP2121SB,1,0,1,0,1,16995,0,Lucy Wangui
2025-12-01,NAKURU SUPERCENTRE,BEATBOX VP6BB/2,1,0,1,0,1,17895,0,Lucy Wangui
2025-12-01,NAKURU SUPERCENTRE,2TAP DISPENSER,1,0,1,0,1,8995,0,Lucy Wangui
2025-12-02,NAIVASHA KUBWA,"55"" SMART TV",1,0,1,0,1,64995,0,Lucy Wangui
2025-12-02,NAIVASHA KUBWA,"43"" SMART TV",1,0,1,0,1,26995,0,Lucy Wangui
2025-12-02,NAIVASHA KUBWA,"32"" DIG TV",1,0,1,0,1,19995,0,Lucy Wangui
2025-12-02,NAIVASHA KUBWA,SOUNDBAR VP2110SB,1,0,1,0,1,11995,0,Lucy Wangui
2025-12-02,NAIVASHA KUBWA,SOUNDBAR VP2120SB,1,0,1,0,1,13995,0,Lucy Wangui
2025-12-02,NAIVASHA KUBWA,40X50 COOKER,1,0,1,0,1,16995,0,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,"75"" SMART TV",1,0,1,0,1,94995,0,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,"65"" SMART TV",1,0,1,0,1,64995,0,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,"55"" SMART TV",1,0,1,0,1,39995,0,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,"50"" SMART TV",1,0,1,0,1,35995,0,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,"43"" SMART TV",2,0,2,0,2,26995,0,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,"43"" FHD ADROID TV",1,0,1,0,1,23995,0,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,"32"" SMART TV",0,7,7,1,6,11995,11995,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,"32"" DIG TV",2,0,2,0,2,19995,0,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,SOUNDBAR VP2110SB,1,0,1,0,1,11995,0,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,SOUNDBAR VP2112SB,0,1,1,0,1,13995,0,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,BEATBOX VP6BB/2,1,0,1,0,1,17895,0,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,150L CHEST FREEZER,1,0,1,0,1,30995,0,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,20L MICROWAVE,3,0,3,0,3,9195,0,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,2TAP DISPENSER,2,0,2,1,1,8995,8995,Lucy Wangui
2025-12-03,NAKURU WESTSIDE,40X50 COOKER,1,0,1,0,1,15995,0,Lucy Wangui
2025-12-05,NAKURU DOWNTOWN,"50"" SMART TV",1,0,1,0,1,35995,0,Lucy Wangui
2025-12-05,NAKURU DOWNTOWN,"43"" SMART TV",3,0,3,0,3,26995,0,Lucy Wangui
2025-12-05,NAKURU DOWNTOWN,"43"" FHD ADROID TV",1,0,1,0,1,23995,0,Lucy Wangui
2025-12-05,NAKURU DOWNTOWN,"32"" SMART TV",3,0,3,1,2,9999,9999,Lucy Wangui
2025-12-05,NAKURU DOWNTOWN,SOUNDBAR VP2111SB,1,0,1,0,1,9995,0,Lucy Wangui
2025-12-05,NAKURU DOWNTOWN,SOUNDBAR VP2120SB,2,0,2,0,2,17995,0,Lucy Wangui
2025-12-05,NAKURU DOWNTOWN,150L CHEST FREEZER,1,0,1,0,1,30995,0,Lucy Wangui
2025-12-05,NAKURU DOWNTOWN,40X50 COOKER,1,0,1,0,1,16995,0,Lucy Wangui
2025-12-05,NAKURU DOWNTOWN,2TAP DISPENSER,1,0,1,0,1,8995,0,Lucy Wangui
2025-12-06,NAKURU MIDTOWN,"50"" SMART TV",2,0,2,0,2,35995,0,Lucy Wangui
2025-12-06,NAKURU MIDTOWN,"43"" FHD ADROID TV",1,0,1,0,1,23995,0,Lucy Wangui
2025-12-06,NAKURU MIDTOWN,"32"" DIG TV",1,0,1,0,1,19995,0,Lucy Wangui
2025-12-06,NAKURU MIDTOWN,SOUNDBAR VP2110SB,1,0,1,0,1,11995,0,Lucy Wangui
2025-12-06,NAKURU MIDTOWN,SOUNDBAR VP2112SB,1,0,1,0,1,13995,0,Lucy Wangui
2025-12-06,NAKURU MIDTOWN,20L MICROWAVE,1,0,1,0,1,9195,0,Lucy Wangui
2025-12-06,NAKURU MIDTOWN,2TAP DISPENSER,1,0,1,0,1,8995,0,Lucy Wangui
2025-12-07,NAKURU DOWNTOWN,"50"" SMART TV",1,0,1,0,1,35995,0,Lucy Wangui
2025-12-07,NAKURU DOWNTOWN,"43"" SMART TV",3,0,3,1,2,26995,26995,Lucy Wangui
2025-12-07,NAKURU DOWNTOWN,"43"" FHD ADROID TV",1,0,1,0,1,23995,0,Lucy Wangui
2025-12-07,NAKURU DOWNTOWN,"32"" SMART TV",2,0,2,0,2,9999,0,Lucy Wangui
2025-12-07,NAKURU DOWNTOWN,SOUNDBAR VP2111SB,1,0,1,0,1,11995,0,Lucy Wangui
2025-12-07,NAKURU DOWNTOWN,SOUNDBAR VP2120SB,2,0,2,0,2,17995,0,Lucy Wangui
2025-12-07,NAKURU DOWNTOWN,150L CHEST FREEZER,1,0,1,0,1,30995,0,Lucy Wangui
2025-12-07,NAKURU DOWNTOWN,40X50 COOKER,1,0,1,0,1,16995,0,Lucy Wangui
2025-12-07,NAKURU DOWNTOWN,2TAP DISPENSER,1,0,1,0,1,8995,0,Lucy Wangui
2025-12-07,NAKURU MIDTOWN,"50"" SMART TV",2,0,2,0,2,35995,0,Lucy Wangui
2025-12-07,NAKURU MIDTOWN,"43"" FHD ADROID TV",1,0,1,1,0,23995,23995,Lucy Wangui
2025-12-07,NAKURU MIDTOWN,"32"" DIG TV",1,0,1,0,1,19995,0,Lucy Wangui
2025-12-07,NAKURU MIDTOWN,SOUNDBAR VP2110SB,1,0,1,0,1,9995,0,Lucy Wangui
2025-12-07,NAKURU MIDTOWN,SOUNDBAR VP2112SB,1,0,1,0,1,11995,0,Lucy Wangui
2025-12-07,NAKURU MIDTOWN,20L MICROWAVE,1,0,1,0,1,9195,0,Lucy Wangui
2025-12-07,NAKURU MIDTOWN,2TAP DISPENSER,1,0,1,0,1,8995,0,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,"75"" SMART TV",1,0,1,0,1,94995,0,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,"65"" SMART TV",1,0,1,0,1,64995,0,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,"55"" SMART TV",1,0,1,0,1,39995,0,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,"50"" SMART TV",1,0,1,0,1,35995,0,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,"43"" SMART TV",2,0,2,0,2,26995,0,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,"43"" FHD ADROID TV",1,0,1,0,1,23995,0,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,"32"" SMART TV",6,0,6,1,5,9999,9999,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,"32"" DIG TV",2,0,2,0,2,19999,0,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,SOUNDBAR VP2110SB,1,0,1,0,1,9995,0,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,SOUNDBAR VP2112SB,1,0,1,0,1,11995,0,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,BEATBOX VP6BB/2,1,0,1,0,1,17895,0,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,150L CHEST FREEZER,1,0,1,0,1,30995,0,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,20L MICROWAVE,3,0,3,0,3,9195,0,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,2TAP DISPENSER,1,0,1,0,1,8995,0,Lucy Wangui
2025-12-08,NAKURU WESTSIDE,40X50 COOKER,1,0,1,0,1,16995,0,Lucy Wangui
2025-12-08,NAKURU SUPERCENTRE,"75"" SMART TV",1,0,1,0,1,94995,0,Lucy Wangui
2025-12-08,NAKURU SUPERCENTRE,"55"" SMART TV",1,0,1,0,1,39995,0,Lucy Wangui
2025-12-08,NAKURU SUPERCENTRE,"50"" SMART TV",1,0,1,0,1,35995,0,Lucy Wangui
2025-12-08,NAKURU SUPERCENTRE,"43"" FHD ADROID TV",1,0,1,0,1,23995,0,Lucy Wangui
2025-12-08,NAKURU SUPERCENTRE,"32"" DIG TV",1,0,1,0,1,19995,0,Lucy Wangui
2025-12-08,NAKURU SUPERCENTRE,SOUNDBAR VP2111SB,1,0,1,0,1,9995,0,Lucy Wangui
2025-12-08,NAKURU SUPERCENTRE,SOUNDBAR VP2112SB,1,0,1,1,0,11995,11995,Lucy Wangui
2025-12-08,NAKURU SUPERCENTRE,SOUNDBAR VP2121SB,1,0,1,0,1,17995,0,Lucy Wangui
